noise_level,recall_precision,overwrite_count,memory_fidelity,graph_diameter
0.0,1.0,0,1.0,1.0
0.1,1.0,0,0.9,1.0
0.2,1.0,0,0.8,1.0
0.3,1.0,0,0.7,1.0
0.4,1.0,0,0.6,1.0
0.5,0.95,0,0.5,1.0
0.6,1.0,0,0.4,1.0
0.7,0.8,0,0.30000000000000004,1.0
0.8,0.7,0,0.19999999999999996,1.0
0.9,0.8,0,0.09999999999999998,1.0
0.1,0.9,1,0.9,1.0
0.1,0.8,2,0.8,1.0
0.1,0.7,3,0.7,1.0
0.1,0.6,4,0.6,1.0
0.1,0.5,5,0.5,1.0
0.1,0.4,6,0.4,1.0
0.1,0.3,7,0.3,1.0
0.1,0.2,8,0.2,1.0
0.1,0.1,9,0.1,1.0
0.1,0.1,10,0.1,1.0
0.1,0.1,11,0.1,1.0
0.1,0.1,12,0.1,1.0
0.1,0.1,13,0.1,1.0
0.1,0.1,14,0.1,1.0
0.1,0.1,15,0.1,1.0
0.1,0.1,16,0.1,1.0
0.1,0.1,17,0.1,1.0
0.1,0.1,18,0.1,1.0
0.1,0.1,19,0.1,1.0
0.1,0.1,20,0.1,1.0
